varnumber,varname,codevalue,valuelabel,frequency,percent
10016,STABBR,AL,Alabama,93,1.2
10016,STABBR,AK,Alaska,12,0.15
10016,STABBR,AZ,Arizona,146,1.88
10016,STABBR,AR,Arkansas,88,1.13
10016,STABBR,CA,California,789,10.16
10016,STABBR,CO,Colorado,141,1.81
10016,STABBR,CT,Connecticut,100,1.29
10016,STABBR,DE,Delaware,21,0.27
10016,STABBR,DC,District of Columbia,25,0.32
10016,STABBR,FL,Florida,402,5.17
10016,STABBR,GA,Georgia,199,2.56
10016,STABBR,HI,Hawaii,28,0.36
10016,STABBR,ID,Idaho,44,0.57
10016,STABBR,IL,Illinois,320,4.12
10016,STABBR,IN,Indiana,139,1.79
10016,STABBR,IA,Iowa,96,1.24
10016,STABBR,KS,Kansas,96,1.24
10016,STABBR,KY,Kentucky,117,1.51
10016,STABBR,LA,Louisiana,128,1.65
10016,STABBR,ME,Maine,43,0.55
10016,STABBR,MD,Maryland,105,1.35
10016,STABBR,MA,Massachusetts,197,2.54
10016,STABBR,MI,Michigan,204,2.63
10016,STABBR,MN,Minnesota,149,1.92
10016,STABBR,MS,Mississippi,64,0.82
10016,STABBR,MO,Missouri,226,2.91
10016,STABBR,MT,Montana,31,0.4
10016,STABBR,NE,Nebraska,53,0.68
10016,STABBR,NV,Nevada,53,0.68
10016,STABBR,NH,New Hampshire,44,0.57
10016,STABBR,NJ,New Jersey,173,2.23
10016,STABBR,NM,New Mexico,52,0.67
10016,STABBR,NY,New York,481,6.19
10016,STABBR,NC,North Carolina,199,2.56
10016,STABBR,ND,North Dakota,30,0.39
10016,STABBR,OH,Ohio,383,4.93
10016,STABBR,OK,Oklahoma,149,1.92
10016,STABBR,OR,Oregon,99,1.27
10016,STABBR,PA,Pennsylvania,406,5.23
10016,STABBR,RI,Rhode Island,24,0.31
10016,STABBR,SC,South Carolina,113,1.45
10016,STABBR,SD,South Dakota,31,0.4
10016,STABBR,TN,Tennessee,190,2.45
10016,STABBR,TX,Texas,479,6.17
10016,STABBR,UT,Utah,88,1.13
10016,STABBR,VT,Vermont,28,0.36
10016,STABBR,VA,Virginia,178,2.29
10016,STABBR,WA,Washington,128,1.65
10016,STABBR,WV,West Virginia,79,1.02
10016,STABBR,WI,Wisconsin,127,1.63
10016,STABBR,WY,Wyoming,12,0.15
10016,STABBR,AS,American Samoa,1,0.01
10016,STABBR,FM,Federated States of Micronesia,1,0.01
10016,STABBR,GU,Guam,3,0.04
10016,STABBR,MH,Marshall Islands,1,0.01
10016,STABBR,MP,Northern Marianas,1,0.01
10016,STABBR,PW,Palau,1,0.01
10016,STABBR,PR,Puerto Rico,158,2.03
10016,STABBR,VI,Virgin Islands,1,0.01
10026,FIPS,1,Alabama,93,1.2
10026,FIPS,2,Alaska,12,0.15
10026,FIPS,4,Arizona,146,1.88
10026,FIPS,5,Arkansas,88,1.13
10026,FIPS,6,California,789,10.16
10026,FIPS,8,Colorado,141,1.81
10026,FIPS,9,Connecticut,100,1.29
10026,FIPS,10,Delaware,21,0.27
10026,FIPS,11,District of Columbia,25,0.32
10026,FIPS,12,Florida,402,5.17
10026,FIPS,13,Georgia,199,2.56
10026,FIPS,15,Hawaii,28,0.36
10026,FIPS,16,Idaho,44,0.57
10026,FIPS,17,Illinois,320,4.12
10026,FIPS,18,Indiana,139,1.79
10026,FIPS,19,Iowa,96,1.24
10026,FIPS,20,Kansas,96,1.24
10026,FIPS,21,Kentucky,117,1.51
10026,FIPS,22,Louisiana,128,1.65
10026,FIPS,23,Maine,43,0.55
10026,FIPS,24,Maryland,105,1.35
10026,FIPS,25,Massachusetts,197,2.54
10026,FIPS,26,Michigan,204,2.63
10026,FIPS,27,Minnesota,149,1.92
10026,FIPS,28,Mississippi,64,0.82
10026,FIPS,29,Missouri,226,2.91
10026,FIPS,30,Montana,31,0.4
10026,FIPS,31,Nebraska,53,0.68
10026,FIPS,32,Nevada,53,0.68
10026,FIPS,33,New Hampshire,44,0.57
10026,FIPS,34,New Jersey,173,2.23
10026,FIPS,35,New Mexico,52,0.67
10026,FIPS,36,New York,481,6.19
10026,FIPS,37,North Carolina,199,2.56
10026,FIPS,38,North Dakota,30,0.39
10026,FIPS,39,Ohio,383,4.93
10026,FIPS,40,Oklahoma,149,1.92
10026,FIPS,41,Oregon,99,1.27
10026,FIPS,42,Pennsylvania,406,5.23
10026,FIPS,44,Rhode Island,24,0.31
10026,FIPS,45,South Carolina,113,1.45
10026,FIPS,46,South Dakota,31,0.4
10026,FIPS,47,Tennessee,190,2.45
10026,FIPS,48,Texas,479,6.17
10026,FIPS,49,Utah,88,1.13
10026,FIPS,50,Vermont,28,0.36
10026,FIPS,51,Virginia,178,2.29
10026,FIPS,53,Washington,128,1.65
10026,FIPS,54,West Virginia,79,1.02
10026,FIPS,55,Wisconsin,127,1.63
10026,FIPS,56,Wyoming,12,0.15
10026,FIPS,60,American Samoa,1,0.01
10026,FIPS,64,Federated States of Micronesia,1,0.01
10026,FIPS,66,Guam,3,0.04
10026,FIPS,68,Marshall Islands,1,0.01
10026,FIPS,69,Northern Marianas,1,0.01
10026,FIPS,70,Palau,1,0.01
10026,FIPS,72,Puerto Rico,158,2.03
10026,FIPS,78,Virgin Islands,1,0.01
10031,OBEREG,0,US Service schools,7,0.09
10031,OBEREG,1,New England CT ME MA NH RI VT,435,5.6
10031,OBEREG,2,Mid East DE DC MD NJ NY PA,1208,15.55
10031,OBEREG,3,Great Lakes IL IN MI OH WI,1172,15.09
10031,OBEREG,4,Plains IA KS MN MO NE ND SD,681,8.77
10031,OBEREG,5,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,1850,23.81
10031,OBEREG,6,Southwest AZ NM OK TX,826,10.63
10031,OBEREG,7,Rocky Mountains CO ID MT UT WY,315,4.05
10031,OBEREG,8,Far West AK CA HI NV OR WA,1108,14.26
10031,OBEREG,9,Outlying areas AS FM GU MH MP PR PW VI,167,2.15
10076,OPEFLAG,1,Participates in Title IV federal financial aid programs,7441,95.78
10076,OPEFLAG,2,Branch campus of a main campus that participates in Title IV,98,1.26
10076,OPEFLAG,3,Deferment only - limited participation,26,0.33
10076,OPEFLAG,5,"Not currently participating in Title IV, has an OPE ID number",167,2.15
10076,OPEFLAG,6,"Not currently participating in Title IV, does not have OPE ID number",34,0.44
10076,OPEFLAG,7,Stopped participating during the survey year,3,0.04
10086,SECTOR,0,Administrative Unit,81,1.04
10086,SECTOR,1,"Public, 4-year or above",724,9.32
10086,SECTOR,2,"Private not-for-profit, 4-year or above",1693,21.79
10086,SECTOR,3,"Private for-profit, 4-year or above",835,10.75
10086,SECTOR,4,"Public, 2-year",1047,13.48
10086,SECTOR,5,"Private not-for-profit, 2-year",172,2.21
10086,SECTOR,6,"Private for-profit, 2-year",1083,13.94
10086,SECTOR,7,"Public, less-than 2-year",268,3.45
10086,SECTOR,8,"Private not-for-profit, less-than 2-year",99,1.27
10086,SECTOR,9,"Private for-profit, less-than 2-year",1762,22.68
10086,SECTOR,99,Sector unknown (not active),5,0.06
10091,ICLEVEL,1,Four or more years,3299,42.46
10091,ICLEVEL,2,At least 2 but less than 4 years,2333,30.03
10091,ICLEVEL,3,Less than 2 years (below associate),2132,27.44
10091,ICLEVEL,-3,{Not available},5,0.06
10096,CONTROL,1,Public,2108,27.13
10096,CONTROL,2,Private not-for-profit,1969,25.34
10096,CONTROL,3,Private for-profit,3687,47.46
10096,CONTROL,-3,{Not available},5,0.06
10101,HLOFFER,1,Award of less than one academic year,203,2.61
10101,HLOFFER,2,"At least 1, but less than 2 academic yrs",1929,24.83
10101,HLOFFER,3,Associate's degree,1479,19.04
10101,HLOFFER,4,"At least 2, but less than 4 academic yrs",854,10.99
10101,HLOFFER,5,Bachelor's degree,1013,13.04
10101,HLOFFER,6,Postbaccalaureate certificate,45,0.58
10101,HLOFFER,7,Master's degree,934,12.02
10101,HLOFFER,8,Post-master's certificate,192,2.47
10101,HLOFFER,9,Doctor's degree,1115,14.35
10101,HLOFFER,-3,{Not available},5,0.06
10106,UGOFFER,1,Undergraduate degree or certificate offering,7419,95.49
10106,UGOFFER,2,No undergraduate offering,345,4.44
10106,UGOFFER,-3,{Not available},5,0.06
10111,GROFFER,1,Graduate degree or certificate offering,2286,29.42
10111,GROFFER,2,No graduate offering,5478,70.51
10111,GROFFER,-3,{Not available},5,0.06
10122,HDEGOFR1,11,Doctor's degree - research/scholarship and professional practice,442,5.69
10122,HDEGOFR1,12,Doctor's degree - research/scholarship,325,4.18
10122,HDEGOFR1,13,Doctor's degree -  professional practice,265,3.41
10122,HDEGOFR1,14,Doctor's degree - other,83,1.07
10122,HDEGOFR1,20,Master's degree,1123,14.45
10122,HDEGOFR1,30,Bachelor's degree,1046,13.46
10122,HDEGOFR1,40,Associate's degree,1785,22.98
10122,HDEGOFR1,0,Non-degree granting,2695,34.69
10122,HDEGOFR1,-3,{Not available},5,0.06
10126,DEGGRANT,1,Degree-granting,5069,65.25
10126,DEGGRANT,2,"Nondegree-granting, primarily postsecondary",2695,34.69
10126,DEGGRANT,-3,{Not available},5,0.06
10151,HBCU,1,Yes,100,1.29
10151,HBCU,2,No,7669,98.71
10156,HOSPITAL,1,Yes,84,1.08
10156,HOSPITAL,2,No,3800,48.91
10156,HOSPITAL,-1,Not reported,44,0.57
10156,HOSPITAL,-2,Not applicable,3841,49.44
10161,MEDICAL,1,Yes,182,2.34
10161,MEDICAL,2,No,7330,94.35
10161,MEDICAL,-1,Not reported,40,0.51
10161,MEDICAL,-2,Not applicable,217,2.79
10166,TRIBAL,1,Yes,34,0.44
10166,TRIBAL,2,No,7735,99.56
10176,LOCALE,11,City: Large,1835,23.62
10176,LOCALE,12,City: Midsize,949,12.22
10176,LOCALE,13,City: Small,1016,13.08
10176,LOCALE,21,Suburb: Large,2060,26.52
10176,LOCALE,22,Suburb: Midsize,223,2.87
10176,LOCALE,23,Suburb: Small,139,1.79
10176,LOCALE,31,Town: Fringe,129,1.66
10176,LOCALE,32,Town: Distant,421,5.42
10176,LOCALE,33,Town: Remote,404,5.2
10176,LOCALE,41,Rural: Fringe,402,5.17
10176,LOCALE,42,Rural: Distant,125,1.61
10176,LOCALE,43,Rural: Remote,63,0.81
10176,LOCALE,-3,{Not available},3,0.04
10181,OPENPUBL,1,Institution is open to the public,7764,99.94
10181,OPENPUBL,0,Institution is not open to the public,5,0.06
10186,ACT,A,Active - institution active,7418,95.48
10186,ACT,N,New (active) - added during the current year,182,2.34
10186,ACT,R,Restore (active) - restored to the current universe,12,0.15
10186,ACT,M,Closed in current year (active has data),31,0.4
10186,ACT,C,Combined with other institution,68,0.88
10186,ACT,D,Delete out of business,58,0.75
10196,DEATHYR,2013,2013,157,2.02
10196,DEATHYR,-2,Not applicable,7612,97.98
